location,total_sqft,price,bhk
other,1330,64,2
Balagere,1012,54.59,2
Electronic City Phase II,1611,48.33,3
Whitefield,1405,58,3
other,1515,90,3
Thigalarapalya,1830,150,3
Kaggadasapura,1710,60,3
BTM Layout,935,51.5,2
Jakkur,2197,136,3
TC Palaya,600,65,4
Yeshwanthpur,1678,92.13,3
Brookefield,1410,80,3
Jakkur,1125,65,2
Magadi Road,1191,55.38,3
Thubarahalli,1200,79,2
CV Raman Nagar,1525,67,3
other,1464,56,3
Seegehalli,920,27,2
Yelahanka,651,17.5,1
Chikkabanavar,600,25,2
Chandapura,645,16.45,1
Thanisandra,1185,44,2
Electronics City Phase 1,1190,68,2
Whitefield,2856,158.5,4
Whitefield,1355,73,2
KR Puram,1200,65,2
Kundalahalli,7000,550,4
Ramamurthy Nagar,1200,110,6
Yelahanka New Town,500,24,1
Bommasandra Industrial Area,1250,50,3
Uttarahalli,1480,58,3
Ambalipura,3300,329,4
KR Puram,1583,70.445,3
other,1206,53,2
Rajaji Nagar,1357,130,2
Hosakerehalli,925,46.5,2
8th Phase JP Nagar,909,40.9,2
Seegehalli,3000,335,3
Brookefield,1100,55,2
Malleshwaram,3000,815,4
Vidyaranyapura,1100,54,2
Subramanyapura,975,65,2
Raja Rajeshwari Nagar,1306,44.17,2
other,1200,95,4
Kalena Agrahara,610,39,1
Yelahanka,1484,56.4,3
Ramamurthy Nagar,1125,47,2
Bhoganhalli,1447,75.97,2
Whitefield,2882,158,4
Vidyaranyapura,750,88,4
Kundalahalli,2075,115,3
other,1250,58,2
Horamavu Banaswadi,1272,51.5,2
Banashankari Stage II,1050,125,4
other,625,24,2
1st Phase JP Nagar,840,50,1
Hennur Road,2502,180,4
Rayasandra,583,26.9,1
other,900,27,2
Sarjapur  Road,1115,50,2
other,1464,56,2
Kanakapura,2200,121,3
Whitefield,750,51,1
Marathahalli,1600,58,3
Chikkalasandra,1365,49,3
other,1300,64,3
other,1200,69,1
Hormavu,1260,35,2
Electronics City Phase 1,1190,33.92,2
Hosakerehalli,2480,260,3
Vishwapriya Layout,1250,38,3
Kaggadasapura,1500,75,3
Banashankari Stage V,1510,47.57,3
7th Phase JP Nagar,1187,59,2
Kundalahalli,1120,53.76,2
Whitefield,1115,34.555,2
other,1717,99,3
other,2099,95,3
Kasturi Nagar,1100,58,2
other,1200,48,1
Bannerghatta Road,1465,45.87,3
Kothanur,1500,75,1
other,4050,600,5
Haralur Road,1255,90,3
5th Phase JP Nagar,1220,88,2
Electronic City Phase II,1065,30.88,2
Sultan Palaya,1765,80,3
Bellandur,1281,87,2
Electronic City,1210,25,2
Kaggadasapura,1215,43,2
Ananth Nagar,1200,87,4
Mysore Road,1237,73,2
Lakshminarayana Pura,1300,70,2
Whitefield,1105,39.99,2
Chandapura,1505,42,3
Hebbal Kempapura,3900,310,4
Banashankari,1186,65,2
other,900,51,4
Kengeri,750,35.5,2
Varthur,1083,28,2
other,1430,78.65,3
Thanisandra,1056,68,2
other,2108,85,3
Banashankari,1650,101,3
Electronic City Phase II,1220,36.6,3
Rayasandra,1198,54,2
other,1190,70,2
other,900,41,2
other,2690,185,4
Kanakapura,1340,65,2
Bommenahalli,2940,2250,4
Giri Nagar,2400,400,6
Yelahanka,1260,59.2,2
Talaghattapura,2254,153,3
Old Madras Road,2990,210,3
other,1800,250,4
JP Nagar,820,45,2
Electronic City,1296,65,2
Uttarahalli,1190,53.55,2
Whitefield,1173,77,2
Sarjapura - Attibele Road,1800,90,3
Yelahanka,1102,52,2
Sarjapur,913,36,2
Hormavu,1176,35.27,3
Prithvi Layout,1620,65,3
Billekahalli,2968,225,3
Yelahanka,1519,65,2
Hosur Road,1345,106,2
other,1594,99,3
other,1250,68,2
Haralur Road,1056,60,2
Whitefield,1200,68.4,3
other,1290,77.5,2
other,1150,48,2
other,1464,145,2
Anekal,1200,36,4
Gollarapalya Hosahalli,861,36.5,2
Kundalahalli,1047,82.62,2
other,1200,75,2
other,1200,190,10
other,1065,45,2
Rajaji Nagar,2300,369,3
Ramamurthy Nagar,1000,62,2
Lingadheeranahalli,1682,113,3
Harlur,1756,131,3
other,4000,1000,5
other,1050,90,4
Vittasandra,1238,67.32,2
Dasanapura,814,42,2
Dodda Nekkundi,1145,46.5,2
Varthur,965,34,2
other,750,36,2
Banashankari,1300,55,3
1st Phase JP Nagar,1590,131,3
Begur Road,644,40,1
Whitefield,982,37,2
Indira Nagar,1260,100,2
Rayasandra,1555,75.17,3
other,2500,450,4
Kaggadasapura,1225,48,2
Electronics City Phase 1,1085,46,2
Rajaji Nagar,1640,220,3
Thanisandra,1595,110,3
Raja Rajeshwari Nagar,1196,40.44,2
Yelahanka,1859,108,3
9th Phase JP Nagar,1079,60,2
Shivaji Nagar,550,27,2
Whitefield,1118,42,2
CV Raman Nagar,1198,60,2
Chandapura,1162.5,30.215,3
Thigalarapalya,1830,135,3
Banashankari Stage VI,1160,59,2
other,1485,156,3
other,2070,135,3
Basaveshwara Nagar,750,150,6
Kannamangala,957,52.5,2
Basaveshwara Nagar,2400,310,5
Bannerghatta Road,1268,69,2
Bannerghatta Road,1450,87,3
other,1600,75,3
Uttarahalli,1330,57,3
Jakkur,1355,65,3
Horamavu Banaswadi,1272,51.5,2
other,1100,38.49,2
Sarjapur  Road,1220,58,3
Chikkalasandra,1075,46.76,2
other,800,55,2
Vasanthapura,995,34.82,2
other,900,44,2
Haralur Road,1140,42,2
other,1480,125,3
Padmanabhanagar,1710,90.63,3
Talaghattapura,2106,148,3
Yeshwanthpur,2400,270,9
other,3800,130,3
other,800,120,3
Marathahalli,1602,104,2
Sarjapur  Road,1660,116,3
Electronic City Phase II,1549,80,3
Marathahalli,700,38,1
Balagere,1012,64,2
Marathahalli,1469,89,3
Whitefield,1216,69,2
Electronic City Phase II,1065,56.13,2
Thanisandra,1411,93.15,3
Pai Layout,1400,57.5,2
Hoskote,1250,29,3
Haralur Road,1245,62,2
Choodasandra,1115,50,2
Vidyaranyapura,1000,35,2
Panathur,1580,71.89,3
Subramanyapura,1800,90,3
other,1500,130,2
Chandapura,645,16.45,1
Kothannur,1275,44,3
Kasavanhalli,1494,82,3
Bhoganhalli,1949,129,3
BTM Layout,1020,46.5,2
Mysore Road,883,45,2
Old Airport Road,3200,280,4
Uttarahalli,1680,125,6
Mysore Road,2232,300,12
other,2010,125,3
Yeshwanthpur,1240,80,2
6th Phase JP Nagar,1213,63,2
Hegde Nagar,1835,88,3
Hoskote,1800,185,9
Bannerghatta Road,2932,195,4
Whitefield,3425,250,4
Gottigere,945,45,2
other,1504,100,3
Lakshminarayana Pura,1569,150,3
Harlur,1755,130,3
Vijayanagar,1760,140,3
Hoodi,1240,43.94,2
Electronics City Phase 1,1450,72.54,3
5th Phase JP Nagar,1000,48,2
Shivaji Nagar,3820,306,1
other,2000,145,5
Choodasandra,1215,59,2
Yelachenahalli,1330,73.5,3
Raja Rajeshwari Nagar,1178,75,2
Hulimavu,1500,192,4
other,2040,59,2
Bellandur,2000,85,3
other,1602,165,3
other,1200,130,4
Parappana Agrahara,1194,46,2
other,1800,220,3
Dasarahalli,2400,152,3
Sarjapur  Road,1700,108,3
Jigani,1200,65,3
other,1500,72,3
Karuna Nagar,1240,165,3
Whitefield,3000,400,3
Kanakpura Road,1737,85,3
TC Palaya,900,55,2
other,1280,48,3
CV Raman Nagar,1560,85,2
Kambipura,883,44,2
Kengeri Satellite Town,750,33,2
Brookefield,2400,140,4
other,900,45,2
Hormavu,1030,49.35,2
7th Phase JP Nagar,1850,155,3
Hennur Road,1831,110,3
other,1095,38.33,2
Electronic City Phase II,1320,38.13,3
Sarjapur  Road,1272.5,40.72,3
7th Phase JP Nagar,1000,61,2
Budigere,1820,85.4,3
Bisuvanahalli,1075,41,3
TC Palaya,1500,83,3
Electronics City Phase 1,360,16.9,1
Kadugodi,925,40.7,1
Electronic City,1140,70.93,2
other,1145,58.4,2
other,1862,120,3
Devarachikkanahalli,947,43,2
other,700,195,3
Kalena Agrahara,1120,40,2
other,2700,200,3
Kaggadasapura,1805,75,3
Basavangudi,1100,93,2
Bommenahalli,1355,135,4
other,1677,98,3
other,2500,95,8
Uttarahalli,1560,74,3
Arekere,2060,150,3
Koramangala,1716,115,3
Harlur,1864,140,3
Electronics City Phase 1,638,32,1
other,1200,95,9
Kodigehalli,1150,170,8
Chandapura,937,30,2
other,1490,115,3
Frazer Town,4856,410,4
Whitefield,4003,525,4
Whitefield,1100,37,2
Thigalarapalya,1000,48.53,2
Horamavu Agara,1060,37,2
Kundalahalli,1047,91,2
Basaveshwara Nagar,1200,80,2
Akshaya Nagar,1420,75,3
Sarjapur  Road,1539,85,3
other,1550,59,3
Kasavanhalli,1555,82,3
other,600,138,7
Seegehalli,1553,68,3
Electronic City Phase II,920,26,2
other,1740,120,3
OMBR Layout,1855,145,3
Kundalahalli,1724,146,3
other,1020,60,2
Banaswadi,1000,150,6
Uttarahalli,1250,50,3
Sanjay nagar,1450,75,3
Thubarahalli,1200,80,2
Haralur Road,1140,58,2
Hoskote,900,110,5
other,550,16,1
Bannerghatta Road,1450,44,3
Kanakpura Road,700,35.07,2
Whitefield,1200,56,3
Yelahanka,1050,45,2
Somasundara Palya,1600,69,3
Bannerghatta Road,1625,75,3
other,1492,65,2
Whitefield,2856,157.5,4
Sarjapur  Road,1489,82,3
Kanakapura,1560,62.38,3
Haralur Road,1140,42,2
other,1431,65,3
Lingadheeranahalli,1682,114,3
Panathur,1198,86.26,2
other,3664,325,3
Sarjapur  Road,1550,69.75,3
Kodichikkanahalli,1026,45,2
Hennur,1260,52,3
other,690,42,2
Sarjapur  Road,539,45,1
Sarakki Nagar,1200,85,4
Attibele,2400,120,3
Thubarahalli,1200,79.55,2
Kundalahalli,2500,350,4
Sarjapur  Road,1186,40,3
Thanisandra,1039,39.5,2
other,1500,233,4
Gottigere,1500,100,5
Malleshwaram,2520,150,3
Brookefield,1225,66.5,2
Bommanahalli,1350,72,2
other,1030,300,2
Whitefield,1550,49.6,3
Hoodi,1490,79,3
other,1520,111,3
Whitefield,4100,550,4
other,1391,64.5,3
Rachenahalli,1200,50,2
other,1200,86,4
other,2500,500,5
Yelahanka,1322,80,2
Whitefield,2173,128,3
Sarjapur  Road,1200,75,2
Thubarahalli,1200,47,2
Mysore Road,1170,65,2
NRI Layout,1125,45.56,2
Devanahalli,698.5,28.57,1
other,1250,90,2
Chandapura,1025,27.68,2
Yelahanka,1075,36,3
other,1900,190,3
Whitefield,1435,45,3
Electronics City Phase 1,1175,64.98,2
other,1464,56,3
other,900,33,2
Electronics City Phase 1,585,21,1
Jigani,3170,230,4
other,1602,170,3
Thanisandra,1220,42,2
Rajaji Nagar,2500,350,3
Sarjapur  Road,2145,180,3
Bannerghatta Road,960,58,2
NGR Layout,907,38,1
Old Madras Road,1210,74,2
Kammanahalli,900,150,4
other,1230,70,2
5th Phase JP Nagar,1350,75,3
Kenchenahalli,1150,58,2
Sarjapur,1404,53.35,3
OMBR Layout,1050,48,2
Kothanur,1020,155,8
Yelahanka,1285,56,2
Hormavu,1018,50.8,2
Hoskote,1200,57,3
Sarjapur  Road,1115,50,2
other,1600,95,3
9th Phase JP Nagar,1480,80,2
Kodichikkanahalli,2500,125,5
Kaval Byrasandra,480,25,1
Akshaya Nagar,1435,53,3
other,450,60,1
other,600,23,1
CV Raman Nagar,1590,85,3
Nagavara,936,40.2,2
Banashankari,1181,75,2
Kengeri,1741,80,3
JP Nagar,1750,123,3
Varthur Road,1050,42.7,2
Tumkur Road,1027,60,2
other,596,22,2
other,3463,310,4
Sector 2 HSR Layout,1600,70,3
Hebbal,2790,198,4
Sahakara Nagar,1000,60,2
Varthur,1120,44.24,2
other,1200,85,2
other,1200,35,2
Kasturi Nagar,1570,110,3
Koramangala,1500,135,3
Frazer Town,1315,140,2
Electronic City Phase II,1140,33.84,2
Banashankari,1105,90,2
Electronic City,1200,34.65,2
Whitefield,905,62,1
HSR Layout,2400,350,4
Kudlu Gate,1185,50,2
Koramangala,1083,100,2
Rayasandra,1458,60,3
Hormavu,1555,75,3
other,1200,45,2
Sarjapur  Road,1308,58.86,2
Kudlu,1024,44,2
Parappana Agrahara,1194,47,2
Kanakapura,1450,75,3
Seegehalli,1639,120,3
Whitefield,1870,138,3
Hennur Road,1232,87,2
Kasavanhalli,1719,184,3
Chandapura,975,24.86,2
other,2000,130,3
Jakkur,1230,79,2
other,1350,140,4
KR Puram,1076,67,2
Kumaraswami Layout,2400,125,7
other,995,34.82,3
Kodigehaali,2120,177,3
other,2400,460,6
other,850,78,6
Electronic City,1096,40.55,2
Horamavu Agara,1107.83,41.51,2
Chamrajpet,505,85,1
Sarjapur  Road,1320,115,2
8th Phase JP Nagar,1431.5,72.02,3
Whitefield,1320,99.26,2
Whitefield,2901,190,3
GM Palaya,1315,65,3
other,1000,44,2
Hosakerehalli,1596,79.8,3
Bannerghatta Road,1750,130,3
Whitefield,2403,270,4
Old Madras Road,1350,47.25,3
Old Madras Road,4062.5,341,4
other,1175,79,2
Talaghattapura,921,29.47,2
Malleshwaram,4000,1100,4
Sultan Palaya,1713,125,3
other,1200,43,2
8th Phase JP Nagar,1900,90,3
Kudlu Gate,1664,68,3
Binny Pete,1795,139,3
Kereguddadahalli,600,19.5,1
Hoodi,1240,65,2
Hegde Nagar,1965,132,3
Vishveshwarya Layout,600,99,3
Sarjapur,4111,370,4
Electronics City Phase 1,1200,59.76,2
other,1112,68,2
Raja Rajeshwari Nagar,3000,60,3
Mahadevpura,1136,64.5,2
Jigani,914,55,2
Poorna Pragna Layout,1270,50.79,3
Rachenahalli,1050,47.25,2
Marathahalli,1385,68.5,3
other,990,35,2
Yelahanka,845,43,2
Whitefield,1485,96.51,2
Kanakapura,1460,43.79,3
Thanisandra,1450,57,2
HSR Layout,1360,53,3
Singasandra,1375,58,2
Uttarahalli,1125,48,2
Banashankari,720,60,1
7th Phase JP Nagar,1460,100,3
other,1107,40,2
other,1158,75,2
Yelachenahalli,800,30,2
Sector 2 HSR Layout,600,90,9
Bhoganhalli,1760,128,3
other,3200,200,4
HAL 2nd Stage,600,145,2
TC Palaya,1350,60,3
Giri Nagar,600,100,6
other,1125,32.49,2
Frazer Town,1706,154,3
BTM Layout,1600,112,3
other,1200,90,2
Whitefield,1755,101,3
Hulimavu,1200,50,2
BEML Layout,1200,67,2
other,1266.67,69,2
other,1800,90,3
Sector 7 HSR Layout,1200,275,3
2nd Phase Judicial Layout,1300,64,3
other,800,60,3
Whitefield,4800,550,4
Mysore Road,1029.5,50.855,2
Raja Rajeshwari Nagar,1128,40,2
other,2000,160,2
Panathur,1210,80,2
Arekere,2710,142,4
Raja Rajeshwari Nagar,1151,39,2
Rajaji Nagar,7500,1700,5
other,1464,56,3
Electronic City,1017,27,2
Sarjapur  Road,920,40,2
HRBR Layout,1200,180,4
other,1000,140,5
Munnekollal,1750,86.5,3
Dasanapura,1163,65,2
7th Phase JP Nagar,1650,110,3
other,1800,95,3
CV Raman Nagar,1100,58,2
R.T. Nagar,1200,60,2
other,1410,65,3
Begur Road,1933,98,3
Begur Road,1200,45.6,2
Whitefield,1608,63,3
other,2679,280,4
Horamavu Banaswadi,1156,46.9,2
other,1230,75,2
Kasavanhalli,770,43.82,1
Ardendale,1777.26,105,3
Kanakpura Road,1339,85,2
Sarjapur  Road,3044,183,3
other,1080,44.8,2
other,3150,145,8
other,2400,135,2
Hulimavu,1450,72,3
Kothanur,1075,53,2
Sarjapur  Road,1163,62,3
TC Palaya,1200,65,2
other,1200,135,8
Marathahalli,3090,325,4
Hebbal,1299,100,2
Electronic City,1130,32.63,2
HRBR Layout,1170,75,2
JP Nagar,2195,152,3
Yelahanka,2600,175,4
KR Puram,1140,43.32,2
Kanakpura Road,1900,125,3
Bommasandra Industrial Area,1090,31.48,2
Electronic City,1110,39.95,2
Nagavarapalya,705,57,1
HBR Layout,1089,60,2
other,880,48,2
Kereguddadahalli,1080,32,2
Thanisandra,1093,68.1,2
Banashankari Stage III,1480,75.48,3
Hegde Nagar,1703,125,3
Hebbal,1200,60,2
Marathahalli,1690,116,3
Yelahanka,1305,78,2
Talaghattapura,1257,40.22,3
other,1150,45,2
other,1194,55,2
other,2000,90,3
Anekal,1500,99,3
other,1025,42.5,2
Horamavu Agara,980,38.19,2
Hosakerehalli,1200,100,3
Whitefield,2225,149,3
other,1022,57,2
other,882,72,4
Narayanapura,1153,45,2
Pai Layout,1175,60,2
Vidyaranyapura,1560,68,3
Yelahanka New Town,650,17,1
other,600,65,3
Billekahalli,1350,55,2
other,1200,76,2
other,1200,54,2
Chandapura,800,25,2
Electronic City,2093,104,4
Uttarahalli,1320,55.44,3
Bannerghatta Road,1275,73,2
Begur Road,1215,43.13,2
Kanakapura,1130,45.2,2
Begur Road,1444,71.5,3
other,950,38,2
Padmanabhanagar,1000,90,2
Banashankari Stage II,1240,59.52,3
2nd Stage Nagarbhavi,600,125,4
Hennur,1231,50,2
Benson Town,1300,120,2
Yeshwanthpur,1713,110,3
Kogilu,1200,53.33,2
Sarjapur  Road,3004,158,3
Sonnenahalli,1310,46,3
Jalahalli,790,49.5,2
Koramangala,1744,200,3
other,1605,100,3
Whitefield,1250,82,2
Malleshwaram,2476,337,3
Subramanyapura,1260,76,3
Rajaji Nagar,1615,175,3
Yelahanka,1180,56,2
Uttarahalli,1255,50.19,3
Electronic City,1025,53.9,2
Sarjapur  Road,1877,150,3
Lakshminarayana Pura,1649,150,3
5th Block Hbr Layout,2600,675,9
Hennur,2500,125,5
other,1542,98,3
Thigalarapalya,1418,105,2
other,1012,42,2
Chandapura,1200,65,2
Sarjapur  Road,1115,43,2
Green Glen Layout,1680,95,3
Old Madras Road,1171,72,2
Tumkur Road,1027,68.62,2
Shampura,1700,75,3
Kanakapura,1090,38.15,2
Hennur Road,1232,74,2
Anekal,766,28,2
Banashankari Stage III,1200,180,5
Kanakpura Road,525,27,1
JP Nagar,1452,41,3
Choodasandra,1254,65,3
other,3600,110,5
Kanakpura Road,1593,118,3
other,1333,77.27,2
other,1100,110,3
Raja Rajeshwari Nagar,1375,54.99,3
Ardendale,1650,82,3
Thanisandra,1430,51.48,3
Electronic City,940,54,2
Electronic City,435,21,1
Begur Road,1160,36.54,2
Electronic City,1500,77.5,3
Koramangala,1890,100,3
other,1050,70,2
Singasandra,1200,220,6
Haralur Road,1027,43,2
Whitefield,1495,61.28,3
Seegehalli,3000,235,3
Tumkur Road,1459,95,3
Yelahanka,1711,85.61,3
Hoodi,1250,98,2
Chandapura,645,16.45,1
Anandapura,875,57,2
Ramamurthy Nagar,1334,67,2
other,1140,32.92,2
Sarjapur  Road,1115,50,2
Amruthahalli,1200,200,3
Rajaji Nagar,1776,190,3
Thigalarapalya,2072,160,3
Kundalahalli,1600,170,3
other,1200,115,6
Kengeri Satellite Town,920,39,2
Chandapura,778,25.29,2
Nagasandra,1310,95,4
Electronic City,1631,80,3
Kanakpura Road,525,27.5,1
Jalahalli,1395,82,3
other,2000,105,3
Hennur Road,1232,66,2
other,1075,55,2
Gubbalala,1205,70,2
other,1200,165,4
Rajiv Nagar,2340,129,4
Rayasandra,1179,55,3
Kodigehaali,1013,51,2
Uttarahalli,1160,40.6,2
7th Phase JP Nagar,1200,62.5,2
other,1200,80,7
Uttarahalli,1255,50.19,3
other,1100,145,3
other,1069,55,2
other,1200,99,3
Kudlu Gate,1400,285,1
Marathahalli,1065,55,2
Lakshminarayana Pura,1395,75,2
Hebbal Kempapura,1725,165,3
other,1007,43,2
Kengeri,1436,55,3
other,4250,150,6
Hebbal,1645,117,3
Kengeri,1200,58,2
Mysore Road,940,43.61,2
KR Puram,4300,175,6
Hebbal,2850,343,3
Indira Nagar,1740,191,3
Haralur Road,1194,47,2
other,3761,650,3
Dodda Nekkundi,1829,125,3
Whitefield,1800,178,4
other,1000,60,2
other,5720,350,3
other,800,98,5
other,675,15,2
Hebbal,1390,95,2
Lakshminarayana Pura,1500,104,3
Vijayanagar,2047,136,3
Jakkur,1202,79,2
other,1012,59,2
Gunjur,2132,80,3
Raja Rajeshwari Nagar,1350,340,4
Whitefield,605,40,1
Harlur,1331,88,2
Margondanahalli,1200,69,2
other,1150,250,2
Sahakara Nagar,1200,136,2
other,1800,300,2
Kammanahalli,600,50,3
other,1280,49,3
Balagere,1007,62,2
Thanisandra,1370,61,3
other,925,35,2
TC Palaya,1500,75,2
Attibele,450,12.5,1
other,1200,140,4
Hennur Road,1341,95,2
2nd Phase Judicial Layout,1350,47.25,3
Tumkur Road,992,60,2
Uttarahalli,1163,68,2
Sarjapur  Road,1229,70,2
other,600,39,2
Electronic City Phase II,1219,61.26,2
Raja Rajeshwari Nagar,1525,99.13,3
Kasavanhalli,1147,60,2
Akshaya Nagar,1412,88,3
Munnekollal,1200,215,9
Sarjapur  Road,1044,34.77,2
Nagarbhavi,1190,63,2
other,1240,65,3
Jigani,1352,65,3
other,1100,55,2
Uttarahalli,1330,39.9,3
other,1700,111,3
Electronic City,1355,67,2
Ramamurthy Nagar,1200,46,2
Kengeri,400,25,1
Sarjapur  Road,1342,70,2
Begur Road,1615,50.87,3
other,1340,65,2
other,1200,54,2
Yeshwanthpur,400,55,1
Devanahalli,1080,52,2
other,1600,31,2
Electronic City,1200,34,2
Hennur Road,2700,150,3
other,1780,110,3
Amruthahalli,1605,65,3
Ulsoor,7200,1584,4
other,646,65,3
Kammanahalli,1200,80,2
Margondanahalli,900,49,2
Sarjapur,1830,88,3
Vishwapriya Layout,690,83,5
other,650,500,1
other,1800,68,5
Chandapura,715,32,3
Chandapura,1230,31.37,3
Uttarahalli,1065,42.59,2
other,1350,185,8
other,1080,149,3
other,900,65,3
other,946,45,2
Laggere,1500,60,1
Sarjapur  Road,1711,110,3
other,1200,160,4
Chandapura,950,25.65,2
Kudlu Gate,1656,80,3
Uttarahalli,1075,46.76,2
Harlur,1752.12,133,3
Hebbal,6000,220,8
other,1540,85,3
6th Phase JP Nagar,600,125,4
LB Shastri Nagar,665,32,1
Sector 2 HSR Layout,1665,110,3
Electronics City Phase 1,1145,54,2
Whitefield,1185,41,2
other,1200,190,3
Marathahalli,1693,125,3
other,2456,220,3
Rajaji Nagar,2559,403,3
Uttarahalli,1155,40.6,2
other,1610,64.4,3
Whitefield,1200,56.58,3
other,1530,185,2
EPIP Zone,1709,80,3
Amruthahalli,600,60,4
Brookefield,2700,290,8
other,840,150,1
Gottigere,1400,50,3
KR Puram,1200,42,2
other,1439,57.23,3
Kasavanhalli,1375,72,2
BTM 2nd Stage,2990,416,5
Vijayanagar,1200,75,3
Yelahanka,1315,75,2
Dommasandra,1500,40,2
Yelahanka,3600,200,6
Vijayanagar,1178,82,2
Bannerghatta Road,1430,59,3
Mahadevpura,1400,65.8,3
Thanisandra,1093,72,2
Horamavu Banaswadi,1200,45,2
Magadi Road,5000,360,5
1st Block Jayanagar,1200,130,3
Whitefield,2210,156,3
Uttarahalli,1150,70,2
other,1435,60,3
other,600,100,4
Whitefield,1173,78.2,2
Thanisandra,1140,39,2
other,1717,120,3
Mallasandra,1325,65,2
Hoodi,1370,67,3
Electronics City Phase 1,1025,90,2
other,1409,62,3
Bellandur,1200,52,2
Thanisandra,1200,53.5,2
Whitefield,1740,130,3
Hennur Road,1232,88,2
Chandapura,1200,36,2
Whitefield,5924,625,4
other,1250,50,2
other,1475,171,2
Bommanahalli,2100,85,4
5th Phase JP Nagar,552,23.5,1
Uttarahalli,1065,42.59,3
Hennur,1000,130,3
other,1225,65,2
other,650,16,1
Padmanabhanagar,1067,52,2
Sarjapur,1364,56,3
other,1750,75,3
Bannerghatta Road,1240,71,2
Hulimavu,1200,75,2
Kaggadasapura,1540,75,3
other,1504,102,3
other,1116,49.8,2
Hennur Road,2365,175,3
Sarjapura - Attibele Road,1308,37,2
Vijayanagar,864,45,2
Vidyaranyapura,1200,139,5
Hoskote,1069,38,3
Hebbal,1333,100,2
other,1800,145,4
Devanahalli,6136,550,4
Thanisandra,1698,107,3
JP Nagar,1275,43.6,3
Raja Rajeshwari Nagar,1060,48,2
Hennur,1160,49,2
Sarjapur  Road,1484,65,3
Hosa Road,675,70,3
BEML Layout,1200,325,3
Hennur Road,1310,66,2
Vijayanagar,1806,370,6
other,3000,240,4
Varthur,2145,165,3
Marathahalli,1693,125,3
Jigani,1230,60,3
Devanahalli,1200,145,3
Bommasandra Industrial Area,1310,37.83,3
other,1150,60,2
Munnekollal,1385,66.5,3
Tumkur Road,1066,52.5,2
Thanisandra,2293,80.26,3
Tindlu,720,81,3
other,1625,92,3
Vittasandra,1246,67.4,2
Vijayanagar,2100,252,4
other,2400,250,4
Raja Rajeshwari Nagar,3900,195,6
7th Phase JP Nagar,1000,70.65,2
Nagavarapalya,907,38,2
Ulsoor,3500,138,4
Varthur,1395,79,3
other,1180,50,2
Banaswadi,1903,140,5
Electronic City,1175,47,2
other,1272,51.5,2
other,1490,92,3
Yeshwanthpur,1144,67,2
other,2400,140,4
Hormavu,1143,53,2
Karuna Nagar,2500,190,3
Whitefield,1216,75,2
other,1044,60,2
Prithvi Layout,1352,93,2
Hennur Road,1552,75,3
Bellandur,1785,120,3
Pai Layout,810,34.5,2
Banashankari Stage V,1650,51.98,3
other,1595,70.39,3
Whitefield,1060,35,2
Babusapalaya,1410,65,3
Nagarbhavi,1523,56,3
Kanakpura Road,1591,122,3
other,1640,84,3
Yelahanka New Town,450,16,1
Bannerghatta Road,1305,60,3
Yelahanka,1590,54,3
Kaggadasapura,1240,45,2
other,1200,54,2
Dodda Nekkundi,1100,41.16,2
Koramangala,1180,128,2
Sarjapur  Road,1115,50,2
Bisuvanahalli,845,33,2
other,1567.2,190,3
Channasandra,1310,45,3
Yelahanka,26136,150,1
other,959,42.5,2
8th Phase JP Nagar,1200,140,4
Kambipura,883,37,2
Rachenahalli,1050,55.5,2
Yelahanka,1390,70.21,2
Kenchenahalli,1280,69,3
other,1280,150,7
Yelahanka,1614,95,3
Kasturi Nagar,1000,58,2
Marathahalli,1196,57.9,2
Sarjapur  Road,1220,57,3
Ambalipura,950,31.95,2
other,2400,325,9
other,1141,55,2
5th Phase JP Nagar,1200,51,2
Kasavanhalli,1380,55,3
Doddathoguru,855,32,2
Chandapura,645,16.45,1
Chandapura,922,36,2
other,1200,43.2,2
other,1240,65,3
7th Phase JP Nagar,1070,42,2
other,1293,75,2
R.T. Nagar,1380,50,3
Yelahanka New Town,1599,80,3
Nehru Nagar,967,41.1,2
other,1885,90,3
other,860,65.5,2
Yelahanka,1075,19.5,1
Sarjapur  Road,1050,63.5,2
Marathahalli,1595,88,3
Sarjapur  Road,1350,102,2
Hebbal,1204,45,2
Sarjapur  Road,2990,240,4
Sarjapur  Road,1035,49,2
ITPL,1000,29.95,2
Sarjapur  Road,1457,85,3
Haralur Road,1194,47,2
Bannerghatta,1100,66,2
Whitefield,1655,120,3
Kanakpura Road,1691.2,115,3
Ramagondanahalli,1215,46.1,2
Kanakpura Road,1155,50.125,2
Hoodi,1639,129,3
Sarjapur  Road,1685,135,3
other,1008,180,5
Hormavu,1100,38,2
Marathahalli,2122,125,3
Vasanthapura,1050,47,2
Kengeri,1230,45,2
5th Phase JP Nagar,1240,60,3
Electronic City Phase II,1252,65,3
other,1374,88,3
8th Phase JP Nagar,500,30,1
Arekere,1200,225,8
Hebbal,1355,83.87,3
Banashankari,1040,45,2
Sarjapur  Road,1350,68,2
Whitefield,4003,300,4
Hennur,2400,135,3
Haralur Road,1560,90,3
Anandapura,1151,43.16,2
Uttarahalli,1360,47.59,3
other,1250,60,2
Chandapura,1110,29.97,3
Hennur Road,1015,50,2
Kadugodi,1351,78,3
Yelahanka New Town,960,50,2
other,1110,52,2
R.T. Nagar,1680,72,3
Arekere,2400,180,3
other,11000,2000,4
